  46 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Sam's Crossdock facility run by 3PL Exel Logistics.                                                                                                                                                                                                      |   65200 | 2004-08-01  | 38.6800758 | -121.7459068 | 010100002031BF0D00C58C3C8B86D969C1666AE30E5BD65141 |     1 |
   1 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Originally constructed to 900,000 sq ft and expanded to 1.2M sq ft in 1988. 11 miles of conveyors.                                                                                                                                                       | 1200000 | 1983-01-01  | 34.1390005 |  -86.8451432 | 010100002031BF0D0089F8CDA37C7062C13FD8FFD93CE14E41 |     1 |
   2 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | 12 miles of conveyors.                                                                                                                                                                                                                                   | 1200000 |             | 36.3217314 |  -94.2625186 | 010100002031BF0D00D64349F2A80364C1ABFEAB7925935041 |     1 |
   3 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1100000 | 1990-05-01  | 35.2237113 |  -91.7301612 | 010100002031BF0D0021B4B95A037A63C1DAD5F91405005041 |     1 |
   4 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Originally constructed to 1.2 M sq ft, this facility was expanded by 352,000 sq ft in 1999 to add a Sam's cross dock facility on the same site. This is a free trade zone (FTZ) facility that can process import merchandise.                            | 1550000 | 1993-03-01  |  33.387019 |  -112.562127 | 010100002031BF0D00FABF20D556E667C10F01FED3911C4E41 |     1 |
   5 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1340000 | 2004-03-01  |  34.597344 |  -117.197589 | 010100002031BF0D00EDEEBFFD4CE268C1B621F7C5F7594F41 |     1 |
   6 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 1991-09-01  |  36.045671 |  -119.023948 | 010100002031BF0D0010F712A9924569C17365F2DCF66D5041 |     1 |
   7 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | 11 Miles of conveyor.                                                                                                                                                                                                                                    | 1170000 | 1994-01-01  | 40.1078098 | -122.1888499 | 010100002031BF0D0038C1A5119AF169C1BD71F152359F5241 |     1 |
   8 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1078500 | 1990-09-01  |  40.432316 |  -104.969187 | 010100002031BF0D008230448E9F4966C17B8E3F6571CD5241 |     1 |
   9 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | General Merchandise RDC.                                                                                                                                                                                                                                 | 1200000 | 2004-01-01  |  39.285197 |   -75.621182 | 010100002031BF0D002A4D26EF670E60C12CE88194FB2A5241 |     1 |
  10 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | General Merchandise RDC built for $55M.                                                                                                                                                                                                                  | 1200000 | 2006-09-01  | 29.9035383 |  -82.4685961 | 010100002031BF0D00232BFA43998261C1A07BCA4DAAA24A41 |     1 |
  11 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    | Originally built to 1.1 Million sq ft and later expanded in 1996 and 1999.                                                                                                                                                                               | 1600000 | 1992-01-01  |  28.503167 |   -82.216064 | 010100002031BF0D0044EC244CDF7461C14BECAD83D8454941 |     1 |
  12 | 2014-03-17 02:36:13.018537+00 | 2014-03-17 02:39:18.948298+00 |             | Walmart Distribution Center                    |                                                                                                                                                                                                                                                          | 1200000 | 2004-08-01  | 27.3943817 |  -80.3878555 | 010100002031BF0D007CB57CE47F1161C17453B2C3EF344841 |     1 |
